Breed,energy_level,noise_level,maintenance_level,apartment_suitability,kid_friendliness,independence_level,trainability,space_requirement,exercise_intensity,size_category
Affenpinscher,3,3,3,4,5,1,4,1,3,Small
Afghan Hound,4,3,3,2,2,4,2,3,4,Medium
Airedale Terrier,3,4,3,2,5,4,5,5,3,Large
Akita,4,4,4,2,3,4,5,5,4,Large
Alaskan Malamute,4,3,3,2,5,4,3,5,4,Large
American Bulldog,4,3,3,2,3,3,3,5,4,Large
American English Coonhound,4,4,2,2,3,4,3,3,4,Medium
American Eskimo Dog,4,4,3,4,5,3,5,1,4,Small
American Foxhound,4,3,3,2,4,4,3,5,4,Large
American Hairless Terrier,3,4,3,4,3,4,3,1,3,Small
American Leopard Hound,4,3,3,2,3,3,5,5,4,Large
American Staffordshire Terrier,3,3,2,3,3,4,3,3,3,Medium
American Water Spaniel,3,4,3,3,4,3,5,3,3,Medium
Anatolian Shepherd Dog,3,2,3,2,3,4,3,5,3,Large
Appenzeller Sennenhund,5,4,3,1,3,3,2,5,5,Large
Australian Cattle Dog,5,4,3,2,3,3,2,3,5,Medium
Australian Kelpie,4,4,3,4,3,3,5,1,4,Small
Australian Shepherd,4,3,3,2,3,3,5,3,4,Medium
Australian Stumpy Tail Cattle Dog,4,4,3,2,3,3,4,3,4,Medium
Australian Terrier,4,4,2,4,5,4,3,1,4,Small
Azawakh,3,3,3,3,5,4,3,3,3,Medium
Barbet,3,2,2,3,5,3,3,3,3,Medium
Basenji,4,4,2,2,3,4,3,3,4,Medium
Basset Fauve de Bretagne,3,4,3,3,5,3,2,3,3,Medium
Basset Hound,2,4,3,4,4,4,3,3,2,Medium
Bavarian Mountain Scent Hound,3,2,3,3,3,3,3,3,3,Medium
Beagle,4,3,3,4,5,4,3,1,4,Small
Bearded Collie,3,3,4,3,5,3,3,3,3,Medium
Beauceron,5,4,4,1,4,3,4,5,5,Large
Bedlington Terrier,4,4,3,4,3,4,3,1,4,Small
Belgian Laekenois,4,4,3,2,4,3,4,5,4,Large
Belgian Malinois,4,4,3,2,3,3,4,5,4,Large
Belgian Sheepdog,4,3,3,2,3,3,4,5,4,Large
Belgian Tervuren,4,4,3,2,3,3,4,5,4,Large
Bergamasco Sheepdog,3,3,2,2,3,3,3,5,3,Large
Berger Picard,5,3,3,1,3,3,4,5,5,Large
Bernese Mountain Dog,4,2,4,2,3,4,4,5,4,Large
Bichon Frise,3,4,3,4,5,3,3,1,3,Small
Biewer Terrier,3,4,3,4,5,3,5,1,3,Small
Black and Tan Coonhound,3,3,3,2,4,4,3,5,3,Large
Black Russian Terrier,4,2,4,2,3,4,4,5,4,Large
Bloodhound,3,3,3,2,4,4,3,5,3,Large
Bluetick Coonhound,4,4,3,2,4,4,3,5,4,Large
Boerboel,3,2,2,2,3,4,3,5,3,Large
Bohemian Shepherd,3,4,2,3,4,3,4,3,3,Medium
Bolognese,3,2,3,4,5,3,3,1,3,Small
Border Collie,5,2,3,2,4,3,5,3,5,Medium
Border Terrier,3,3,3,4,5,4,4,1,3,Small
Borzoi,4,2,3,2,4,4,3,5,4,Large
Boston Terrier,3,4,2,4,5,3,5,1,3,Small
Bouvier des Flandres,4,4,4,2,4,3,3,5,4,Large
Boxer,4,4,3,2,5,4,4,3,4,Medium
Boykin Spaniel,3,3,3,3,4,3,5,3,3,Medium
Bracco Italiano,4,3,2,2,4,3,4,5,4,Large
Braque du Bourbonnais,3,2,2,3,4,3,5,3,3,Medium
Braque Francais Pyrenean,5,3,3,2,4,3,3,3,5,Medium
Briard,3,3,3,2,3,3,3,5,3,Large
Brittany,5,3,3,2,4,3,5,3,5,Medium
Broholmer,3,2,3,2,4,3,3,5,3,Large
Brussels Griffon,3,4,3,4,4,1,3,1,3,Small
Bull Terrier,4,3,3,2,5,4,3,5,4,Large
Bulldog,3,2,4,3,5,3,3,3,3,Medium
Bullmastiff,4,4,3,2,4,4,3,5,4,Large
Cairn Terrier,3,4,3,4,4,4,3,1,3,Small
Canaan Dog,3,4,4,3,3,3,3,3,3,Medium
Cane Corso,4,4,2,4,4,4,3,1,4,Small
Cardigan Welsh Corgi,4,4,3,2,4,3,3,3,4,Medium
Carolina Dog,3,2,3,3,3,3,5,3,3,Medium
Catahoula Leopard Dog,5,4,3,1,3,3,3,5,5,Large
Caucasian Shepherd Dog,3,4,4,2,2,3,3,5,3,Large
Cavalier King Charles Spaniel,3,3,3,4,5,1,5,1,3,Small
Central Asian Shepherd Dog,3,2,3,2,2,3,3,5,3,Large
Cesky Terrier,3,4,3,4,3,4,3,1,3,Small
Chesapeake Bay Retriever,4,4,4,2,4,3,3,5,4,Large
Chihuahua,3,4,2,4,3,1,3,1,3,Small
